,,Channel Description:,G's,msec,In/S,Filter Hz,Max G's,Min G's
Ch 1,,356A24 - 11340 X                                            ,6.03000,1.50,2.13,500.00,6.03,-3.96
Ch 2,,356A24 - 11340 Y                                            ,91.20000,11.50,227.81,500.00,91.20,-11.74
Ch 3,,356A24 - 11340 Z                                            ,12.51000,6.40,19.37,500.00,12.51,-1.70
Time (msec),Channel 1 (G's),Channel 2 (G's),Channel 3 (G's),,,,,
0.00000,-0.00210,0.06729,0.04307,,,,,
0.10000,0.00100,0.06729,0.04591,,,,,
0.20000,0.01174,0.03857,0.04437,,,,,
0.30000,0.01012,0.00630,0.03486,,,,,
0.40000,0.01113,-0.02156,0.02186,,,,,
0.50000,0.00727,-0.02828,0.00252,,,,,
0.60000,0.00731,-0.02258,-0.01559,,,,,
0.70000,0.00951,-0.02650,-0.02839,,,,,
0.80000,-0.00594,-0.01942,-0.03697,,,,,
0.90000,-0.02036,-0.02288,-0.05089,,,,,
1.00000,-0.02968,-0.03824,-0.06072,,,,,
1.10000,-0.02282,-0.05231,-0.06446,,,,,
1.20000,-0.02006,-0.04833,-0.06446,,,,,
1.30000,-0.02918,-0.03470,-0.04531,,,,,
1.40000,-0.02226,-0.03940,-0.03732,,,,,
1.50000,-0.01643,-0.04744,-0.03631,,,,,
1.60000,-0.00246,-0.05972,-0.03928,,,,,
1.70000,0.00534,-0.08592,-0.04701,,,,,
1.80000,0.00273,-0.08536,-0.02821,,,,,
1.90000,-0.00541,-0.06998,-0.02209,,,,,
2.00000,-0.01581,-0.04789,-0.02079,,,,,
2.10000,-0.02024,-0.02424,-0.02228,,,,,
2.20000,-0.02713,-0.00207,-0.02803,,,,,
2.30000,-0.03159,-0.00524,-0.02705,,,,,
2.40000,-0.03426,0.00016,-0.01958,,,,,
2.50000,-0.01705,-0.00936,-0.02062,,,,,
2.60000,0.00331,-0.00708,-0.02343,,,,,
2.70000,0.01409,0.00152,-0.02980,,,,,
2.80000,0.02779,0.01279,-0.04035,,,,,
2.90000,0.05109,0.00848,-0.05503,,,,,
3.00000,0.05879,-0.00406,-0.06203,,,,,
3.10000,0.05395,-0.00399,-0.05839,,,,,
3.20000,0.04262,0.00627,-0.04067,,,,,
3.30000,0.03502,-0.01391,-0.03108,,,,,
3.40000,0.02713,-0.01392,-0.02696,,,,,
3.50000,0.00744,-0.00272,-0.01492,,,,,
3.60000,-0.00755,-0.00554,-0.01103,,,,,
3.70000,-0.01224,-0.02225,-0.01489,,,,,
3.80000,-0.01074,-0.03866,-0.02837,,,,,
3.90000,0.00027,-0.05327,-0.03733,,,,,
4.00000,-0.00628,-0.04311,-0.02017,,,,,
4.10000,-0.00639,-0.04252,-0.01292,,,,,
4.20000,-0.00604,-0.04731,-0.01473,,,,,
4.30000,-0.00234,-0.03866,-0.01003,,,,,
4.40000,-0.00027,-0.02340,-0.01354,,,,,
4.50000,-0.00240,-0.00597,-0.02127,,,,,
